AL,30165,03
AL,31905,03
AL,35004,03
AL,35005,06
AL,35005,07
AL,35006,04
AL,35006,06
AL,35006,07
AL,35007,06
AL,35010,02
AL,35010,03
AL,35010,06
AL,35013,06
AL,35014,03
AL,35016,04
AL,35019,04
AL,35019,05
AL,35020,06
AL,35020,07
AL,35022,06
AL,35022,07
AL,35023,06
AL,35023,07
AL,35031,04
AL,35031,06
AL,35032,03
AL,35033,04
AL,35034,06
AL,35034,07
AL,35035,06
AL,35036,06
AL,35040,06
AL,35042,06
AL,35043,06
AL,35044,03
AL,35045,06
AL,35046,06
AL,35049,06
AL,35051,06
AL,35052,03
AL,35053,04
AL,35054,03
AL,35055,04
AL,35057,04
AL,35058,04
AL,35060,06
AL,35061,06
AL,35061,07
AL,35062,04
AL,35062,06
AL,35063,04
AL,35063,06
AL,35064,07
AL,35068,06
AL,35068,07
AL,35070,04
AL,35071,06
AL,35072,03
AL,35072,06
AL,35073,06
AL,35074,06
AL,35077,04
AL,35078,06
AL,35079,06
AL,35080,06
AL,35082,03
AL,35083,04
AL,35085,06
AL,35087,04
AL,35087,05
AL,35089,03
AL,35089,06
AL,35091,06
AL,35094,03
AL,35094,06
AL,35096,03
AL,35097,06
AL,35098,04
AL,35111,06
AL,35111,07
AL,35112,03
AL,35114,06
AL,35115,06
AL,35116,06
AL,35117,06
AL,35117,07
AL,35118,06
AL,35118,07
AL,35119,06
AL,35120,03
AL,35121,03
AL,35121,04
AL,35121,06
AL,35124,06
AL,35125,03
AL,35126,06
AL,35127,06
AL,35127,07
AL,35128,03
AL,35130,04
AL,35130,06
AL,35131,03
AL,35133,03
AL,35133,06
AL,35135,03
AL,35136,06
AL,35139,06
AL,35143,06
AL,35146,03
AL,35146,06
AL,35147,06
AL,35148,04
AL,35148,06
AL,35149,03
AL,35150,03
AL,35150,06
AL,35151,03
AL,35151,06
AL,35160,03
AL,35171,06
AL,35172,06
AL,35173,03
AL,35173,06
AL,35175,04
AL,35175,05
AL,35176,06
AL,35178,03
AL,35178,06
AL,35179,04
AL,35179,05
AL,35180,06
AL,35183,06
AL,35184,06
AL,35186,06
AL,35187,06
AL,35188,06
AL,35188,07
AL,35203,07
AL,35204,07
AL,35205,06
AL,35205,07
AL,35206,06
AL,35206,07
AL,35207,06
AL,35207,07
AL,35208,07
AL,35209,06
AL,35209,07
AL,35210,06
AL,35210,07
AL,35211,06
AL,35211,07
AL,35212,06
AL,35212,07
AL,35213,06
AL,35213,07
AL,35214,06
AL,35214,07
AL,35215,06
AL,35215,07
AL,35216,06
AL,35217,06
AL,35217,07
AL,35218,07
AL,35221,07
AL,35222,06
AL,35222,07
AL,35223,06
AL,35223,07
AL,35224,06
AL,35224,07
AL,35226,06
AL,35226,07
AL,35228,07
AL,35229,06
AL,35233,07
AL,35234,07
AL,35235,06
AL,35235,07
AL,35242,06
AL,35243,06
AL,35244,06
AL,35244,07
AL,35254,07
AL,35401,04
AL,35401,07
AL,35404,04
AL,35404,07
AL,35405,07
AL,35406,04
AL,35406,07
AL,35441,07
AL,35442,07
AL,35443,07
AL,35444,04
AL,35444,06
AL,35444,07
AL,35446,04
AL,35446,07
AL,35447,07
AL,35452,04
AL,35452,07
AL,35453,04
AL,35453,07
AL,35456,06
AL,35456,07
AL,35457,04
AL,35458,04
AL,35459,07
AL,35460,07
AL,35461,07
AL,35462,07
AL,35463,07
AL,35464,07
AL,35466,04
AL,35466,07
AL,35469,07
AL,35470,07
AL,35473,04
AL,35473,07
AL,35474,07
AL,35475,04
AL,35476,04
AL,35476,07
AL,35477,07
AL,35480,04
AL,35480,07
AL,35481,07
AL,35490,04
AL,35490,07
AL,35501,04
AL,35503,04
AL,35504,04
AL,35540,04
AL,35541,04
AL,35542,04
AL,35543,04
AL,35544,04
AL,35545,04
AL,35546,04
AL,35548,04
AL,35549,04
AL,35550,04
AL,35552,04
AL,35553,04
AL,35554,04
AL,35555,04
AL,35555,07
AL,35559,04
AL,35563,04
AL,35564,04
AL,35565,04
AL,35570,04
AL,35571,04
AL,35572,04
AL,35574,04
AL,35574,07
AL,35575,04
AL,35576,04
AL,35576,07
AL,35577,04
AL,35578,04
AL,35579,04
AL,35580,04
AL,35581,04
AL,35582,04
AL,35584,04
AL,35585,04
AL,35586,04
AL,35587,04
AL,35592,04
AL,35593,04
AL,35594,04
AL,35601,05
AL,35603,04
AL,35603,05
AL,35610,05
AL,35611,05
AL,35613,05
AL,35614,05
AL,35615,05
AL,35616,04
AL,35618,04
AL,35619,04
AL,35619,05
AL,35620,05
AL,35621,04
AL,35621,05
AL,35622,04
AL,35622,05
AL,35630,05
AL,35633,05
AL,35634,05
AL,35640,05
AL,35643,04
AL,35645,05
AL,35646,04
